,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_mean
181,1944-06-30 00:00:00+00:00,14.426417,1.1,6.185951
182,1944-07-01 00:00:00+00:00,13.886834,5.4,11.238855
183,1944-07-02 00:00:00+00:00,16.113918,9.899999,10.941311
184,1944-07-03 00:00:00+00:00,15.801415,6.4,6.9465814
185,1944-07-04 00:00:00+00:00,14.972252,7.6,10.222414
186,1944-07-05 00:00:00+00:00,14.795166,3.2,9.933257
187,1944-07-06 00:00:00+00:00,17.2035,3.3000002,13.115182
188,1944-07-07 00:00:00+00:00,16.599333,14.200001,10.993925
189,1944-07-08 00:00:00+00:00,16.276417,1.6000001,9.233673
190,1944-07-09 00:00:00+00:00,13.341,4.7999997,13.162458
191,1944-07-10 00:00:00+00:00,13.949333,3.8999999,14.184709
192,1944-07-11 00:00:00+00:00,13.516,1.2,18.290112
193,1944-07-12 00:00:00+00:00,12.96392,0.2,16.457758
194,1944-07-13 00:00:00+00:00,15.470166,4.1,9.242064
195,1944-07-14 00:00:00+00:00,14.824334,0.9000001,14.91046
196,1944-07-15 00:00:00+00:00,14.416,3.6999996,15.098419
197,1944-07-16 00:00:00+00:00,16.070168,1.1000001,9.467426
198,1944-07-17 00:00:00+00:00,17.128502,0.0,4.7905345
199,1944-07-18 00:00:00+00:00,16.42225,0.0,9.097578
200,1944-07-19 00:00:00+00:00,15.984752,0.5,5.986125
201,1944-07-20 00:00:00+00:00,15.357667,0.1,9.246156
202,1944-07-21 00:00:00+00:00,12.516,0.5,12.762827
203,1944-07-22 00:00:00+00:00,12.913917,0.5,9.359866
204,1944-07-23 00:00:00+00:00,13.993083,0.2,7.966572
205,1944-07-24 00:00:00+00:00,14.118084,0.2,6.3932743
206,1944-07-25 00:00:00+00:00,15.626416,0.9,10.361749
207,1944-07-26 00:00:00+00:00,17.309748,8.0,12.238082
208,1944-07-27 00:00:00+00:00,16.622252,5.4999995,8.482888
209,1944-07-28 00:00:00+00:00,15.563916,1.0000001,11.074475
210,1944-07-29 00:00:00+00:00,15.395167,22.399998,7.962246
211,1944-07-30 00:00:00+00:00,16.8035,0.6,5.462996
212,1944-07-31 00:00:00+00:00,17.068085,0.3,5.100315
213,1944-08-01 00:00:00+00:00,17.532663,0.3,8.763827
214,1944-08-02 00:00:00+00:00,16.513918,0.0,10.431855
215,1944-08-03 00:00:00+00:00,16.238916,0.1,5.7109013
216,1944-08-04 00:00:00+00:00,17.363916,1.1,4.4224396
217,1944-08-05 00:00:00+00:00,17.966002,0.0,5.365723
218,1944-08-06 00:00:00+00:00,18.088915,0.0,5.76444
219,1944-08-07 00:00:00+00:00,17.818083,0.0,6.7499585
220,1944-08-08 00:00:00+00:00,16.307667,13.6,9.181173
221,1944-08-09 00:00:00+00:00,15.551417,2.0,10.785932
222,1944-08-10 00:00:00+00:00,17.474333,2.1,18.337418
223,1944-08-11 00:00:00+00:00,17.630585,2.9000003,22.832338
224,1944-08-12 00:00:00+00:00,14.609749,1.1,14.207183
225,1944-08-13 00:00:00+00:00,13.591001,0.1,10.200623
226,1944-08-14 00:00:00+00:00,13.957667,0.1,5.4093714
227,1944-08-15 00:00:00+00:00,16.507668,0.0,10.159185
228,1944-08-16 00:00:00+00:00,16.19725,9.500001,8.78386
229,1944-08-17 00:00:00+00:00,17.188917,2.5,14.973374
230,1944-08-18 00:00:00+00:00,18.280584,7.2000003,20.821096
231,1944-08-19 00:00:00+00:00,15.855584,12.700001,8.817438
232,1944-08-20 00:00:00+00:00,12.053501,9.500001,17.930443
233,1944-08-21 00:00:00+00:00,10.930584,0.0,15.930829
234,1944-08-22 00:00:00+00:00,11.64725,0.1,14.486281
235,1944-08-23 00:00:00+00:00,16.416002,1.0,12.507336
236,1944-08-24 00:00:00+00:00,17.5535,0.0,11.463714
237,1944-08-25 00:00:00+00:00,15.928498,0.8000001,8.906587
238,1944-08-26 00:00:00+00:00,15.170167,0.0,6.668246
239,1944-08-27 00:00:00+00:00,14.018082,3.5,16.136614
240,1944-08-28 00:00:00+00:00,13.722251,12.500001,18.80227
